"";"P5824";"P5826";"P5828";"P5830";"P5832"
"GO:0031838";1;0,136303070325015;0,0825939116271838;0,0928986190653168;0,116687659096311
"GO:0005640";0,0114798696863003;0,00399769249741755;1;1;0,23857083723299
"GO:0005606";1;1;1;1;1
"GO:0005608";1;1;1;1;1
"GO:0031226";1;1;1;1;1
"GO:0031430";0,155754682175627;0,0516274273905737;0,403946398277324;0,0185621435403442;0,00519415714194776
"GO:0032592";1;1;1;1;1
"GO:0005669";1;0,62367764928383;1;1;1
"GO:0000109";1;1;1;1;1
"GO:0000784";1;1;1;1;1
"GO:0005742";0,00186991114320584;0,0406299248044504;0,182222745780616;0,203497728608073;0,251392759191412
"GO:0045277";1;1;1;1;1
"GO:0031228";1;1;1;1;1
"GO:0031672";1;1;1;1;1
"GO:0005859";1;1;1;1;0,462361940112689
"GO:0002102";0,00463267544361243;0,00918783794820908;0,0909228233561757;0,00221632714795202;0,000594535529229523
"GO:0016604";0,63253087832033;0,705298142198846;0,512649366768406;0,556455649486508;0,644611461170006
"GO:0030057";1;0,0188908262464437;0,468722776631025;0,510978444830528;0,597608392066504
"GO:0051233";0,451472727481793;0,158438234452257;0,350241701754908;1;0,121599577399759
"GO:0001772";0,0594544178211174;0,0220262228251861;0,483787397794578;0,00565147806185406;0,00197364549173639
"GO:0031259";1;1;1;1;1
"GO:0097197";1;1;1;1;1
"GO:0032279";1;0,289613246565046;1;1;1
"GO:0030672";1;1;0,701220864315307;1;1
"GO:0072487";1;1;1;1;1
"GO:0036128";1;1;1;1;1
"GO:0031519";1;1;1;1;1
"GO:0005903";0,585596637763282;1;1;1;1
"GO:0034358";1;1;1;1;1
"GO:0022626";1;1;1;1;1
"GO:0034045";1;1;1;1;1
"GO:0016281";0,046075032028845;2,61394317404629e-05;0,00167147437806461;0,000114808164600339;0,00463283222298836
"GO:0005889";1;1;1;1;1
"GO:0005832";4,71193784384316e-11;2,23570401526284e-10;3,93123685485456e-08;9,167694252958e-12;6,09511199934919e-11
"GO:0033178";0,0769232511309632;1;1;1;0,0793869990879822
"GO:0016469";0,000233573285157137;0,177480211479197;1;0,12190867211268;0,00931433486149795
"GO:0001401";1;1;1;1;1
"GO:0016010";1;0,495411774563809;1;0,365634834455667;0,43964444926516
"GO:0005953";1;1;1;1;1
"GO:0016514";1;1;1;0,385933517348993;1
"GO:0071564";1;1;1;0,300630199436517;1
"GO:0071565";1;1;1;0,323005613219727;1
"GO:0061202";0,0367763168166408;0,323487943169753;0,0200236635684788;0,228975735907015;0,281731713910725
"GO:0070032";1;1;0,10858300918547;1;1
"GO:0060203";1;1;0,10858300918547;1;1
"GO:0070083";1;1;0,133837110795832;1;1
"GO:0032040";0,329877740656113;0,386472981051252;0,249788840713621;0,277516432375511;0,338774931535722
"GO:0000942";1;1;1;1;1
"GO:0097228";1;1;1;1;1
"GO:0005952";1;1;1;1;1
"GO:0005655";1;1;0,182222745780616;1;1
"GO:0016272";1;1;1;1;1
"GO:0010369";1;0,323487943169753;1;1;1
"GO:0005853";1,13898436371492e-05;2,46889194283379e-05;0,133837110795832;5,04890896881773e-06;0,000623142336691985
"GO:0005955";1;1;1;1;1
"GO:0044295";0,356179749847838;0,415733267415334;1;1;1
"GO:0042582";0,181369417065609;0,216696149276497;1;0,149992339279699;1
"GO:0042581";0,302502621382778;0,355748921937489;1;0,253639986444225;1
"GO:0005680";1;1;1;1;1
"GO:0005587";1;1;1;1;1
"GO:0001940";1;1;1;1;1
"GO:0005666";0,102463444992745;1;1;1;1
"GO:0060201";1;1;1;1;1
"GO:0071547";1;1;1;1;1
"GO:0030121";1;1;1;1;1
"GO:0033270";1;0,386472981051252;1;1;1
"GO:0001518";1;1;1;1;1
"GO:0005682";0,21349238416496;0,0299558926627494;9,1320692146117e-06;0,000605527305874399;3,75807475330448e-05
"GO:0005579";1;1;1;1;1
"GO:0035145";1;0,0524903703320925;1;0,00161592817951214;0,281731713910725
